Row Type,Action,Ad group status,Campaign,Ad group,Ad group type,Default max. CPC
Ad group,Add,Enabled,Izmir Cekirdek - Arama,Protez Tirnak,Standard,7.00
Ad group,Add,Enabled,Izmir Cekirdek - Arama,Kalici Oje,Standard,7.00
Ad group,Add,Enabled,Izmir Cekirdek - Arama,Eve Gelen Nail Artist,Standard,6.50
Ad group,Add,Paused,Izmir Cekirdek - Arama,Manikur Pedikur,Standard,6.00
Ad group,Add,Paused,Izmir Cekirdek - Arama,Rus Manikuru,Standard,6.00
Ad group,Add,Paused,Izmir Cekirdek - Arama,Fiyatlar,Standard,5.00
Ad group,Add,Paused,Izmir Cekirdek - Arama,Gelin Tirnagi,Standard,9.00
Ad group,Add,Paused,Izmir Cekirdek - Arama,Nail Art,Standard,6.00
