Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Campaign Status,Networks,Languages,Ad Group,Max CPC,Ad Group Status
Izmir Cekirdek - Arama,Search,45,Maximize clicks,Paused,Google search,Turkish,,,
Izmir Cekirdek - Arama,,,,,,,Protez Tirnak,7.00,Enabled
Izmir Cekirdek - Arama,,,,,,,Kalici Oje,7.00,Enabled
Izmir Cekirdek - Arama,,,,,,,Eve Gelen Nail Artist,6.50,Enabled
Izmir Cekirdek - Arama,,,,,,,Manikur Pedikur,6.00,Paused
Izmir Cekirdek - Arama,,,,,,,Rus Manikuru,6.00,Paused
Izmir Cekirdek - Arama,,,,,,,Fiyatlar,5.00,Paused
Izmir Cekirdek - Arama,,,,,,,Gelin Tirnagi,9.00,Paused
Izmir Cekirdek - Arama,,,,,,,Nail Art,6.00,Paused
